host,media,time,dilution,well,phage,rep,total.events,volume.nL,limit.events,limit.volume.uL,singlets,neg.rmv,noise.cutoff,noisy.events,clean.events,spore,veg,spore.ml,veg.ml
W23,LB,T0,x100,F1,SP10WT,A,50000,8231,50000,30,48336,1994,8.276517272680135,46342,36572,995,35577,12088446.118333131,432231806.58486205
W23,LB,T0,x100,F10,noPHI,DSM,50000,5117,50000,30,47534,208,8.574116050780596,47326,44259,6795,37464,132792651.94449873,732147742.8180574
W23,LB,T0,x100,F2,SP10WT,B,50000,7603,50000,30,48913,2041,8.546234289861278,46872,36771,1048,35723,13784032.618703144,469854004.9980271
W23,LB,T0,x100,F3,SP10WT,C,50000,9451,50000,30,48359,2867,8.605473187918452,45492,29392,4291,25101,45402602.89916411,265590942.7573802
W23,LB,T0,x100,F4,SP10dF,A,50000,7376,50000,30,48581,2003,8.407778078489784,46578,36371,509,35862,6900759.219088937,486198481.5618221
W23,LB,T0,x100,F5,SP10dF,B,50000,6702,50000,30,49480,2886,8.468321631211978,46594,32299,421,31878,6281706.953148315,475649059.98209494
W23,LB,T0,x100,F6,SP10dF,C,50000,8375,50000,30,48274,3417,8.614314017800336,44857,25190,1827,23363,21814925.373134326,278961194.0298507
W23,LB,T0,x100,F7,noPHI,A,50000,6818,50000,30,47530,4491,8.555300700397858,43039,24698,716,23982,10501613.376356702,351745379.8767967
W23,LB,T0,x100,F8,noPHI,B,50000,7184,50000,30,42678,4831,8.782599749984657,37847,12848,97,12751,1350222.7171492204,177491648.10690424
W23,LB,T0,x100,F9,noPHI,C,50000,6741,50000,30,47876,4249,8.575049079736813,43627,26759,663,26096,9835336.003560303,387123572.17030114
