"";"type";"stain";"conc";"mean.fl1";"mean.fl3";"PI";"SYBR1";"SYBR2"
"1";"cells";"NA";"NA";4,14008640509392;6,31526339004949;0;0;0
"2";"cells";"PI";"2x";4,841696626635;10,2868022105335;2;0;0
"3";"cells";"PI";"SYBR1";7,53206502894752;10,6668916581873;1;1;0
"4";"cells";"PI";"SYBR2";7,71182808572908;10,3716211912924;1;0;1
"5";"cells";"SYBR1";"2x";11,9691856131814;10,9669564608339;0;2;0
"6";"cells";"SYBR1";"SYBR2";12,1310291026737;11,0036405975089;0;1;1
"7";"cells";"SYBR2";"2x";11,6099982096149;10,3056568166492;0;0;2
"8";"spores";"NA";"NA";4,28347133010693;6,76904098043795;0;0;0
"9";"spores";"PI";"2x";4,95624122883265;7,41458219395642;2;0;0
"10";"spores";"PI";"SYBR1";6,78107626838806;8,25646314424652;1;1;0
"11";"spores";"PI";"SYBR2";7,35234255693772;8,60804379293545;1;0;1
"12";"spores";"SYBR1";"2x";7,89188104472527;8,59303114176192;0;2;0
"13";"spores";"SYBR1";"SYBR2";8,45447328632724;8,68116748852591;0;1;1
"14";"spores";"SYBR2";"2x";8,89472513801516;8,80605582918929;0;0;2
