"","strain","time","h","cluster","stain","count","perc.count"
"1","Bs02003",48,"h",1,"1",19273,24.2882887424229
"2","Bs02003",48,"h",1,"2",6670,8.36321689194272
"3","Bs02003",48,"h",1,"3",13031,16.1869743984696
"4","Bs02003",48,"h",2,"1",14763,18.6046804703154
"5","Bs02003",48,"h",2,"2",30951,38.8080848609474
"6","Bs02003",48,"h",2,"3",19897,24.7158490987913
"7","Bs02003",48,"h",3,"1",45315,57.1070307872617
"8","Bs02003",48,"h",3,"2",42133,52.8286982471099
"9","Bs02003",48,"h",3,"3",47575,59.097176502739
"10","Bs02003",56,"h",1,"1",15776,19.3667980210904
"11","Bs02003",56,"h",1,"2",16705,21.5165254128133
"12","Bs02003",56,"h",1,"3",6882,8.7377161575379
"13","Bs02003",56,"h",2,"1",19314,23.7100872831731
"14","Bs02003",56,"h",2,"2",7453,9.59968056879363
"15","Bs02003",56,"h",2,"3",22956,29.1460348899215
"16","Bs02003",56,"h",3,"1",46369,56.9231146957365
"17","Bs02003",56,"h",3,"2",53480,68.8837940183931
"18","Bs02003",56,"h",3,"3",48924,62.1162489525406
"19","Bs02003",72,"h",1,"1",5510,7.10280373831776
"20","Bs02003",72,"h",1,"2",5206,6.56966545940966
"21","Bs02003",72,"h",1,"3",4912,5.75074635602646
"22","Bs02003",72,"h",2,"1",8980,11.5758942958427
"23","Bs02003",72,"h",2,"2",8503,10.7302853248867
"24","Bs02003",72,"h",2,"3",8942,10.468887197799
"25","Bs02003",72,"h",3,"1",63085,81.3213019658395
"26","Bs02003",72,"h",3,"2",65534,82.7000492157036
"27","Bs02003",72,"h",3,"3",71561,83.7803664461746
"28","Bs02003",80,"h",1,"1",1137,1.45825317429781
"29","Bs02003",80,"h",1,"2",3331,4.04360440414193
"30","Bs02003",80,"h",1,"3",1652,2.14164408779185
"31","Bs02003",80,"h",2,"1",5483,7.03219186866744
"32","Bs02003",80,"h",2,"2",5501,6.67783483253821
"33","Bs02003",80,"h",2,"3",6062,7.85874483062603
"34","Bs02003",80,"h",3,"1",71350,91.5095549570348
"35","Bs02003",80,"h",3,"2",73545,89.2785607633199
"36","Bs02003",80,"h",3,"3",69423,89.9996110815821
"37","Bs02003",96,"h",1,"1",4560,5.26334014335676
"38","Bs02003",96,"h",1,"2",4076,4.70116029618694
"39","Bs02003",96,"h",1,"3",7315,8.41084959354268
"40","Bs02003",96,"h",2,"1",4176,4.82011149970567
"41","Bs02003",96,"h",2,"2",4753,5.48199580171161
"42","Bs02003",96,"h",2,"3",4728,5.43629485690632
"43","Bs02003",96,"h",3,"1",77901,89.9165483569376
"44","Bs02003",96,"h",3,"2",77873,89.8168439021015
"45","Bs02003",96,"h",3,"3",74928,86.152855549551
"46","Bs02018",48,"h",1,"1",17042,20.9778675004308
"47","Bs02018",48,"h",1,"2",14710,18.2910148964214
"48","Bs02018",48,"h",1,"3",21166,25.6203549035272
"49","Bs02018",48,"h",2,"1",51641,63.567542283168
"50","Bs02018",48,"h",2,"2",53387,66.3835766332596
"51","Bs02018",48,"h",2,"3",37088,44.8931173893045
"52","Bs02018",48,"h",3,"1",12555,15.4545902164012
"53","Bs02018",48,"h",3,"2",12325,15.3254084703191
"54","Bs02018",48,"h",3,"3",24360,29.4865277071683
"55","Bs02018",56,"h",1,"1",12169,14.5294553095972
"56","Bs02018",56,"h",1,"2",13692,16.4168724970624
"57","Bs02018",56,"h",1,"3",15419,18.9571653388413
"58","Bs02018",56,"h",2,"1",41080,49.0484036583327
"59","Bs02018",56,"h",2,"2",39130,46.9173401117479
